iter	Logloss
0	0.6773158526
1	0.6624705417
2	0.6484006288
3	0.6330908251
4	0.622816723
5	0.6124818325
6	0.6026100622
7	0.5914871078
8	0.5820412328
9	0.5717824479
10	0.5620341346
11	0.5539304318
12	0.5472901915
13	0.5415100146
14	0.5347090452
15	0.528681805
16	0.5235698612
17	0.5182943455
18	0.512697408
19	0.5058644298
20	0.5012824426
21	0.4957697325
22	0.4912873733
23	0.4864948108
24	0.48290086
25	0.4794070358
26	0.475372603
27	0.4722574369
28	0.4695211695
29	0.4661450698
30	0.4632141058
31	0.4598192229
32	0.4568403935
33	0.4539315522
34	0.4511819401
35	0.4483942021
36	0.4459948361
37	0.4437663723
38	0.440919551
39	0.4392516437
40	0.4374286766
41	0.4360251191
42	0.4345430155
43	0.4325727647
44	0.4306642409
45	0.4293341619
46	0.4279262282
47	0.4263756651
48	0.4249476193
49	0.4236492536
50	0.4226052597
51	0.4209973978
52	0.4199326603
53	0.4187407442
54	0.4171087809
55	0.4160214839
56	0.4152156835
57	0.4139853615
58	0.4131229205
59	0.4123478661
60	0.411412993
61	0.41076024
62	0.4100493854
63	0.4092312015
64	0.4084875461
65	0.407688681
66	0.4067816011
67	0.4058258682
68	0.4051763731
69	0.4044274737
70	0.4038181421
71	0.4032959268
72	0.402662126
73	0.4018367822
74	0.4009848185
75	0.4004847446
76	0.3996587896
77	0.398985151
78	0.3983709012
79	0.3979020829
80	0.3973256017
81	0.3968746542
82	0.3965916291
83	0.3956240125
84	0.3951855573
85	0.3946249675
86	0.3940642762
87	0.393603001
88	0.3931164287
89	0.3925447425
90	0.3922261747
91	0.3917764724
92	0.3910761753
93	0.3905587696
94	0.3902341431
95	0.3898107855
96	0.3894081172
97	0.3890987263
98	0.388772147
99	0.3883787022
100	0.3879081152
101	0.3873282945
102	0.3870203573
103	0.3867456215
104	0.3863727185
105	0.3860045561
106	0.385646489
107	0.3851983733
108	0.3846791529
109	0.3843113075
110	0.3838294677
111	0.3833978415
112	0.3830962144
113	0.3826967745
114	0.3824953339
115	0.3822853817
116	0.3820643202
117	0.3816690015
118	0.3814138435
119	0.381303239
120	0.381067492
121	0.3807640059
122	0.3805782842
123	0.3803677625
124	0.3801600105
125	0.3798060683
126	0.3796044988
127	0.3793712382
128	0.3790558286
129	0.3786843159
130	0.3783166876
131	0.3780300679
132	0.3778217004
133	0.3776820885
134	0.3773424415
135	0.3770068859
136	0.3766722677
137	0.3763243497
138	0.3761647375
139	0.3758305764
140	0.3756098812
141	0.3754743316
142	0.3751604843
143	0.3749802656
144	0.3747473677
145	0.3744606591
146	0.3742285944
147	0.3740097071
148	0.373772171
149	0.373527735
150	0.3733027538
151	0.3730705361
152	0.3728696176
153	0.3727090908
154	0.3724331174
155	0.3721780829
156	0.3719722551
157	0.3717635182
158	0.3714764029
159	0.3712349133
160	0.3709214525
161	0.3707162104
162	0.3705597161
163	0.3702898188
164	0.3701828697
165	0.3699437395
166	0.3697482144
167	0.3695416815
168	0.3692972024
169	0.3690647592
170	0.3687990593
171	0.3685774637
172	0.3684251106
173	0.3682049899
174	0.3680238767
175	0.3678984521
176	0.3676320484
177	0.3672743024
178	0.3671419159
179	0.3669857527
180	0.3668377428
181	0.3666804865
182	0.3665190216
183	0.3663834285
184	0.3661087462
185	0.3659707625
186	0.365698448
187	0.3655636334
188	0.3653880684
189	0.3651089968
190	0.3649051536
191	0.3646766534
192	0.3644207799
193	0.3642143687
194	0.3640518927
195	0.3638350145
196	0.3635778923
197	0.3633558286
198	0.3631887334
199	0.3630188595
200	0.3627544157
201	0.3625796414
202	0.3624240467
203	0.3622835818
204	0.3620928258
205	0.361994535
206	0.361779073
207	0.361619785
208	0.3615098337
209	0.361329999
210	0.361181827
211	0.361014927
212	0.360865245
213	0.3607433364
214	0.3605523712
215	0.3604423015
216	0.3602623229
217	0.3601004411
218	0.3599084328
219	0.3597070445
220	0.3596032364
221	0.3593861571
222	0.3592525077
223	0.3591573253
224	0.3589333341
225	0.3586600593
226	0.3585394332
227	0.3583760905
228	0.3582201272
229	0.3580439902
230	0.3578311743
231	0.3576020553
232	0.3574393443
233	0.3572670495
234	0.3571029762
235	0.3569617883
236	0.3568071477
237	0.3566559043
238	0.3565603849
239	0.3563792965
240	0.3562167556
241	0.3560657159
242	0.3559691455
243	0.3558606369
244	0.3556890363
245	0.3555830239
246	0.3554850589
247	0.3552372728
248	0.355079793
249	0.3548636277
250	0.3546871044
251	0.3545792055
252	0.3543204868
253	0.3541488827
254	0.3540293385
255	0.353835482
256	0.3537021764
257	0.3535697453
258	0.3534070283
259	0.3533361322
260	0.3531940546
261	0.3529968301
262	0.3528730504
263	0.3526461573
264	0.3525346799
265	0.3523835008
266	0.3522424724
267	0.3521266528
268	0.3520180514
269	0.3518735831
270	0.3516833979
271	0.3515572264
272	0.3512336619
273	0.3511225492
274	0.3509800205
275	0.3507353824
276	0.3506031822
