iter	Passed	Remaining
0	145	145679
1	148	74134
2	151	50412
3	154	38497
4	157	31339
5	160	26602
6	163	23206
7	166	20642
8	169	18639
9	172	17047
10	175	15766
11	178	14675
12	181	13746
13	184	12960
14	186	12272
15	189	11679
16	193	11191
17	197	10755
18	201	10378
19	204	10011
20	207	9678
21	210	9358
22	213	9072
23	217	8844
24	221	8652
25	225	8439
26	229	8278
27	233	8100
28	237	7966
29	242	7836
30	245	7688
31	249	7560
32	254	7444
33	258	7342
34	262	7231
35	266	7136
36	270	7041
37	274	6942
38	277	6846
39	281	6760
40	285	6683
41	289	6606
42	292	6520
43	296	6437
44	299	6348
45	303	6287
46	309	6284
47	314	6240
48	317	6169
49	321	6104
50	324	6041
51	327	5977
52	331	5928
53	335	5883
54	339	5831
55	343	5792
56	347	5742
57	350	5697
58	354	5656
59	357	5607
60	361	5557
61	364	5510
62	367	5461
63	370	5420
64	373	5375
65	377	5343
66	380	5305
67	384	5272
68	387	5234
69	391	5201
70	394	5168
71	398	5139
72	402	5108
73	406	5084
74	409	5056
75	413	5030
76	417	5005
77	420	4971
78	423	4940
79	426	4908
80	429	4878
81	433	4854
82	436	4827
83	439	4796
84	443	4771
85	446	4743
86	449	4717
87	451	4680
88	454	4654
89	458	4631
90	461	4606
91	464	4584
92	467	4564
93	471	4543
94	474	4517
95	477	4497
96	480	4476
97	483	4453
98	486	4431
99	490	4410
100	492	4387
101	496	4366
102	499	4351
103	503	4335
104	506	4317
105	509	4299
106	512	4281
107	516	4265
108	519	4250
109	523	4234
110	526	4218
111	529	4200
112	533	4185
113	536	4171
114	539	4154
115	542	4137
116	546	4123
117	549	4110
118	553	4095
119	556	4077
120	559	4061
121	561	4044
122	565	4029
123	568	4013
124	570	3996
125	573	3981
126	577	3966
127	579	3951
128	583	3936
129	586	3922
130	589	3908
131	592	3895
132	595	3883
133	598	3870
134	601	3854
135	604	3843
136	607	3828
137	611	3816
138	614	3804
139	617	3790
140	620	3780
141	623	3768
142	627	3758
143	630	3746
144	633	3735
145	636	3725
146	640	3714
147	643	3705
148	647	3697
149	650	3687
150	654	3679
151	657	3668
152	661	3659
153	664	3649
154	667	3641
155	671	3631
156	674	3621
157	678	3614
158	681	3604
159	684	3594
160	688	3585
161	691	3576
162	694	3568
163	698	3558
164	700	3543
165	703	3534
166	707	3526
167	710	3517
168	714	3512
169	718	3506
170	721	3499
171	725	3492
172	728	3483
173	732	3475
174	735	3467
175	738	3458
176	741	3449
177	745	3442
178	749	3435
179	752	3428
180	756	3421
181	759	3413
182	762	3405
183	766	3398
184	770	3392
185	773	3385
186	777	3378
187	779	3368
188	783	3362
189	786	3355
190	790	3347
191	793	3339
192	796	3332
193	799	3323
194	803	3316
195	806	3308
196	809	3301
197	813	3293
198	816	3285
199	819	3278
200	822	3270
201	826	3263
202	829	3255
203	832	3248
204	835	3241
205	839	3233
206	843	3229
207	846	3222
208	850	3217
209	853	3212
210	857	3204
211	860	3198
212	864	3192
213	867	3186
214	870	3179
215	873	3172
216	877	3165
217	880	3158
218	884	3152
219	887	3146
220	890	3138
221	893	3132
222	897	3125
223	900	3119
224	903	3113
225	907	3106
226	910	3101
227	913	3094
228	917	3090
229	921	3084
230	925	3079
231	928	3073
232	932	3068
233	935	3060
234	938	3054
235	941	3047
236	944	3041
237	948	3036
238	951	3030
239	954	3023
240	958	3018
241	961	3011
242	964	3005
243	968	2999
244	971	2993
245	975	2988
246	978	2983
247	981	2977
248	985	2971
249	988	2966
250	992	2962
251	996	2959
252	1000	2955
253	1004	2951
254	1008	2945
255	1012	2941
256	1015	2935
257	1018	2929
258	1021	2923
259	1025	2918
260	1028	2912
261	1032	2907
262	1035	2902
263	1038	2896
264	1042	2891
265	1046	2887
266	1050	2883
267	1054	2879
268	1058	2876
269	1062	2872
270	1066	2870
271	1071	2867
272	1074	2862
273	1078	2858
274	1082	2853
275	1086	2850
276	1090	2847
277	1095	2844
278	1098	2839
279	1101	2833
280	1106	2830
281	1109	2825
282	1113	2821
283	1117	2817
284	1121	2813
285	1125	2809
286	1129	2805
287	1133	2801
288	1136	2795
289	1139	2790
290	1143	2785
291	1146	2780
292	1150	2775
293	1154	2772
294	1158	2768
295	1161	2763
296	1165	2758
297	1168	2752
298	1172	2748
299	1175	2742
300	1179	2738
301	1182	2732
302	1185	2727
303	1188	2721
304	1192	2717
305	1195	2712
306	1199	2707
307	1202	2702
308	1206	2698
309	1209	2692
310	1213	2688
311	1217	2683
312	1220	2679
313	1224	2674
314	1227	2669
315	1230	2663
316	1234	2659
317	1237	2654
318	1241	2650
319	1244	2645
320	1248	2640
321	1251	2635
322	1255	2631
323	1259	2626
324	1262	2621
325	1265	2617
326	1268	2611
327	1272	2607
328	1277	2604
329	1280	2599
330	1284	2595
331	1286	2587
332	1289	2582
333	1293	2579
334	1297	2575
335	1300	2570
336	1304	2565
337	1308	2562
338	1312	2558
339	1315	2553
340	1319	2549
341	1322	2544
342	1325	2538
343	1328	2534
344	1332	2529
345	1335	2524
346	1338	2519
347	1341	2513
348	1344	2508
349	1348	2503
350	1351	2499
351	1355	2495
352	1358	2489
353	1362	2486
354	1365	2481
355	1368	2476
356	1371	2470
357	1375	2466
358	1378	2461
359	1382	2457
360	1385	2452
361	1389	2448
362	1392	2443
363	1395	2438
364	1398	2433
365	1401	2428
366	1405	2423
367	1408	2418
368	1411	2413
369	1414	2408
370	1418	2404
371	1421	2399
372	1424	2394
373	1428	2390
374	1431	2385
375	1434	2381
376	1438	2377
377	1442	2373
378	1445	2368
379	1449	2364
380	1452	2360
381	1456	2356
382	1459	2351
383	1462	2346
384	1466	2341
385	1469	2337
386	1472	2332
387	1476	2328
388	1479	2323
389	1482	2319
390	1486	2314
391	1490	2311
392	1493	2307
393	1497	2302
394	1500	2298
395	1504	2294
396	1507	2289
397	1511	2285
398	1514	2281
399	1517	2276
400	1520	2271
401	1524	2267
402	1527	2262
403	1530	2258
404	1533	2253
405	1537	2249
406	1540	2244
407	1544	2240
408	1547	2236
409	1551	2231
410	1554	2227
411	1557	2223
412	1561	2218
413	1564	2214
414	1567	2209
415	1570	2204
416	1573	2200
417	1576	2195
418	1579	2190
419	1582	2186
420	1586	2181
421	1589	2177
422	1592	2172
423	1595	2167
424	1598	2163
425	1601	2158
426	1604	2153
427	1607	2148
428	1610	2144
429	1614	2140
430	1617	2135
431	1620	2130
432	1624	2127
433	1627	2122
434	1630	2117
435	1633	2113
436	1637	2109
437	1640	2104
438	1643	2100
439	1646	2095
440	1649	2090
441	1651	2085
442	1654	2080
443	1657	2075
444	1660	2071
445	1663	2066
446	1666	2062
447	1669	2057
448	1672	2052
449	1675	2048
450	1678	2043
451	1682	2039
452	1684	2034
453	1688	2030
454	1690	2025
455	1693	2020
456	1697	2016
457	1700	2012
458	1703	2007
459	1705	2002
460	1708	1997
461	1711	1993
462	1714	1988
463	1717	1984
464	1720	1979
465	1723	1975
466	1726	1970
467	1729	1966
468	1733	1962
469	1735	1957
470	1739	1953
471	1741	1948
472	1744	1943
473	1747	1939
474	1750	1934
475	1753	1930
476	1756	1925
477	1759	1921
478	1761	1916
479	1764	1911
480	1767	1907
481	1771	1903
482	1774	1899
483	1778	1895
484	1781	1891
485	1784	1887
486	1788	1883
487	1791	1879
488	1794	1875
489	1797	1871
490	1800	1866
491	1804	1862
492	1807	1858
493	1810	1854
494	1813	1849
495	1816	1845
496	1819	1841
497	1822	1837
498	1825	1833
499	1829	1829
500	1832	1825
501	1836	1821
502	1839	1817
503	1842	1813
504	1845	1809
505	1849	1805
506	1852	1801
507	1855	1796
508	1858	1792
509	1861	1788
510	1864	1784
511	1868	1780
512	1871	1776
513	1874	1772
514	1879	1769
515	1882	1765
516	1885	1761
517	1888	1757
518	1892	1753
519	1895	1749
520	1898	1745
521	1901	1741
522	1904	1737
523	1907	1733
524	1911	1729
525	1913	1724
526	1917	1720
527	1920	1716
528	1923	1712
529	1926	1708
530	1928	1703
531	1931	1699
532	1934	1695
533	1937	1691
534	1940	1686
535	1943	1682
536	1946	1678
537	1949	1674
538	1952	1670
539	1955	1665
540	1958	1661
541	1961	1657
542	1964	1653
543	1968	1649
544	1971	1645
545	1974	1641
546	1977	1638
547	1981	1634
548	1985	1630
549	1988	1627
550	1992	1623
551	1996	1619
552	1999	1616
553	2003	1612
554	2005	1608
555	2009	1604
556	2012	1600
557	2015	1596
558	2018	1592
559	2021	1588
560	2024	1584
561	2027	1580
562	2030	1576
563	2033	1572
564	2036	1567
565	2039	1563
566	2042	1559
567	2045	1555
568	2048	1551
569	2050	1547
570	2053	1543
571	2056	1539
572	2059	1534
573	2062	1531
574	2065	1526
575	2068	1522
576	2071	1518
577	2074	1514
578	2077	1510
579	2080	1506
580	2083	1502
581	2086	1498
582	2089	1494
583	2092	1490
584	2095	1486
585	2098	1482
586	2101	1478
587	2104	1474
588	2106	1470
589	2109	1465
590	2112	1462
591	2115	1458
592	2118	1454
593	2121	1450
594	2125	1446
595	2128	1442
596	2131	1438
597	2134	1435
598	2137	1431
599	2141	1427
600	2144	1423
601	2147	1419
602	2150	1415
603	2153	1411
604	2156	1407
605	2159	1403
606	2162	1400
607	2165	1396
608	2168	1392
609	2171	1388
610	2174	1384
611	2177	1380
612	2180	1376
613	2184	1373
614	2187	1369
615	2190	1365
616	2193	1361
617	2197	1358
618	2200	1354
619	2203	1350
620	2206	1346
621	2209	1342
